Model,Make,Year,URL,Description,Image,Starting_Price,Pct_domestic_content
Giulia,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/giulia,"The 2022 Alfa Romeo Giulia appeals to driving enthusiasts with its fun-to-drive personality, sonorous engine, and drop-dead gorgeous styling.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-alfa-romeo-giulia-mmp-1-1633101092.jpg,44445,0.0
Giulia Quadrifoglio,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/giulia-quadrifoglio,"Despite sharing its chassis, styling, and cabin with the regular Giulia, the 2022 Alfa Romeo Giulia Quadrifoglio is a unique beast thanks to its twin-turbo V-6.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-alfa-romeo-giulia-quadrifoglio-mmp-1-1633103418.jpg,80755,0.0
Stelvio,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/stelvio,"The Alfa Romeo Stelvio isn't as comprehensively practical or as luxurious as the segment's best, but its pretty design and driving verve deserve kudos.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-alfa-romeo-stelvio-mmp-1-1635976036.jpg,46645,0.0
Stelvio Quadrifoglio,Alfa Romeo,2022,https://www.caranddriver.com/alfa-romeo/stelvio-quadrifoglio,The Alfa Romeo Stelvio Quadrifoglio is a high-riding crossover with a melodic 505-hp twin-turbo V-6 that somehow drives like a sports sedan.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/ar022-001stn2hol3lv994naeef2rodbklhtj-1636147066.jpg,86575,0.0
4C,Alfa Romeo,2020,https://www.caranddriver.com/alfa-romeo/4c,"Despite its shoddy interior and fussy convertible top, the Alfa Romeo 4C is one of only a handful of modern, affordable cars that make every trip feel truly special.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-alfa-romeo-4c-103-1607964762.jpg,68745,0.0
GTV,Alfa Romeo,2021,https://www.caranddriver.com/alfa-romeo/gtv,Alfa Romeo will revive the legendary GTV nameplate with its upcoming sports coupe that is expected to deliver a seductive design and sublime driving characteristics.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/alfa-romeo-gtv-illo-christianschulte-1530629520.jpg,50000,0.12
8C,Alfa Romeo,2010,https://www.caranddriver.com/alfa-romeo/8c,Leading Alfa Romeo's charge back into the United States‚ to be followed by more mainstream models by 2010‚ is the achingly gorgeous 8C.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2010-alfa-romeo-8c-spider-photo-292205-s-986x603-1529610236.jpg,301600,0.0
Vanquish,Aston Martin,2024,https://www.caranddriver.com/aston-martin/vanquish,Aston Martin is betting its front-engine legacy on a mid-engine future that includes a pair of hypercars and this next-generation Vanquish.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2024-aston-martin-vanquish-1588264826.jpg,300000,
DB11,Aston Martin,2022,https://www.caranddriver.com/aston-martin/db11,The Aston Martin DB11 delivers the looks and sportiness expected of high-dollar grand tourers and offers a convertible top or a V-12.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-aston-martin-db11-amr-102-1589946285.jpg,208425,
DBS,Aston Martin,2022,https://www.caranddriver.com/aston-martin/dbs,"Offered as either a hardtop coupe or a ragtop convertible Volante, the 2022 Aston Martin DBS is a luxury grand touring car with style to spare.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-aston-martin-dbs-superleggera-106-1590562601.jpg,319125,
DBX,Aston Martin,2022,https://www.caranddriver.com/aston-martin/dbx,"The DBX is an Aston Martin for the SUV-loving crowd, boasting the brand's distinct styling and fun-to-drive character, albeit with a more practical bent.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-aston-martin-dbx-107-1615840062.jpg,179986,
Valkyrie,Aston Martin,2022,https://www.caranddriver.com/aston-martin/valkyrie,"Potent and striking, the 2022 Aston Martin Valkyrie is a hypercar with sci-fi design cues and more than 1000 horses.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/aston-martin-valkyrie-101-1548193861.jpg,3000000,
Vantage,Aston Martin,2022,https://www.caranddriver.com/aston-martin/vantage,"The Aston Martin Vantage doesn't offer everything its supercar rivals do, but it's a gorgeous and thrilling sports car all the same",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-aston-martin-vantage-f1-edition-121-1624330069.jpg,143000,
Valhalla,Aston Martin,2024,https://www.caranddriver.com/aston-martin/valhalla,"Aston Martin makes the move to a mid-engine layout with the forthcoming Valhalla hypercar, which will combine futuristic styling and ultra-high performance.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/aston-martin-valhalla-101-1626200852.jpg,800000,
DBS Superleggera,Aston Martin,2021,https://www.caranddriver.com/aston-martin/dbs-superleggera-2021,The DBS Superleggera combines the best of the modern Aston Martins with a historic name and presents it in a stunning package.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-aston-martin-dbs-superleggera-103-1590562598.jpg,319125,
Rapide,Aston Martin,2019,https://www.caranddriver.com/aston-martin/rapide,"While other four-doors are sober and serene, the sexy Rapide is flat-out berserk.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2019-aston-martin-rapide-amr-101-1528815870.jpg,207775,
DB9 GT,Aston Martin,2016,https://www.caranddriver.com/aston-martin/db9-gt,"The voluptuous and alluring DB9 GT is sure to get any driver's pulse racing, especially after hearing its trademark growl from under the hood.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2016/02/2016-Aston-Martin-DB9-GT-111-876x535.jpg,201075,
Virage,Aston Martin,2012,https://www.caranddriver.com/aston-martin/virage,"Following a subtle nose job for the DB9 in 2011, a newly shaped coupe based on the same underpinnings arrives on the scene this year.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/11q1/391467/2012-aston-martin-virage-photo-392300-s-986x603.jpg,212110,
One-77,Aston Martin,2011,https://www.caranddriver.com/aston-martin/one-77,"Limited to 77 units worldwide and sporting a carbon monocoque chassis, a 7.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2011/11/Aston-Martin-One-77-1280-782-626x382.jpg,1850000,
A6 e-tron,Audi,2023,https://www.caranddriver.com/audi/a6-e-tron,"Audi continues its electric-vehicle assault with the A6 e-tron sedan, which is aimed  directly at the Tesla Model S.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/audi-a6-e-tron-concept-113-1618585274.jpg,80000,0.015
e-tron GT,Audi,2022,https://www.caranddriver.com/audi/e-tron-gt,"The Audi e-tron GT is a more muscular-looking version of the Porsche Taycan, and they share an advanced all-electric system that ensures repeated performance.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-rs-e-tron-gt-109-1615819912.jpg,103445,0.01
e-tron / e-tron Sportback,Audi,2022,https://www.caranddriver.com/audi/e-tron,"The Audi e-tron and its coupelike counterpart, the e-tron Sportback, look more conventional than similar EV SUVs, but they're still lovely and highly luxurious.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-e-tron-sportback-133-1601305579.jpg,66995,0.01
A3,Audi,2022,https://www.caranddriver.com/audi/a3,"Facing an onslaught of new rivals, the Audi A3 sedan has been restyled, re-engineered, and modernized for the 2022 model year.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/new-audi-a3-sedan-113-1595373890.jpg,34945,0.012857143
A4,Audi,2022,https://www.caranddriver.com/audi/a4,"As a compact luxury sports sedan, the 2022 Audi A4 is easy to like and hard to fault since it is handsomely styled, well-built, and loaded with goodies.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-a4-mmp-1-1621027611.jpg,40945,0.02
A4 Allroad,Audi,2022,https://www.caranddriver.com/audi/a4-allroad-quattro,"Audi doesn't sell the A4 Avant station wagon in the U.S. but we do get the 2022 A4 Allroad, which is a lifted version of it—and nearly as lovely.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-a4-allroad-mmp-1-1623774847.jpg,46545,0.02
A5,Audi,2022,https://www.caranddriver.com/audi/a5,"In the world of Audi, removing two doors from the A4 sedan increases the number to 5—as in, the 2022 A5 coupe and cabriolet.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-a5-coupe-101-1567777441.jpg,46645,0.0175
A5 Sportback,Audi,2022,https://www.caranddriver.com/audi/a5-sportback,"Both sexy and practical, the 2022 Audi A5 Sportback blends the best of what we love about the A4 sedan and the A5 coupe.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-a5-sportback-101-1567777538.jpg,43445,0.0175
A6,Audi,2022,https://www.caranddriver.com/audi/a6,"Comfortable, spacious, handsome, technology-rich, and well-equipped, the 2022 Audi A6 checks the critical boxes for a modern mid-size luxury car.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2019-audi-a6-3-0t-99leadgallery-1545842828.jpg,56945,0.015
A6 Allroad,Audi,2022,https://www.caranddriver.com/audi/a6-allroad,The 2022 Audi A6 Allroad is a handsomely styled luxury wagon with an adjustable air suspension for when adventures take a more rock-strewn path.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-a6-allroad-101-1623701712.jpg,67945,0.015
A7,Audi,2022,https://www.caranddriver.com/audi/a7,"The Audi A7 is a hatchback that is as fashionable as it is functional, and its high-tech features and notable refinement further fulfill its luxury billing.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2019-audi-a7-3-0t-108-1539199412.jpg,70245,0.01
A8,Audi,2022,https://www.caranddriver.com/audi/a8,"Audi's most luxurious sedan, the 2022 A8, hides its high-dollar cabin behind a handsome, understated façade and rolls on a chassis that emphasizes a comfortable ride.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/a218151-medium-1635867809.jpg,90000,0.01
Q3,Audi,2022,https://www.caranddriver.com/audi/q3,"If you took Audi's mid-size Q8 SUV and hit it with a shrink ray, it would turn into the frisky and maneuverable 2022 Q3.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-q3-mmp-1-1623424859.jpg,36995,0.01
Q4 e-tron,Audi,2022,https://www.caranddriver.com/audi/q4-e-tron,Audi is growing its e-tron sub-brand of electric vehicles for 2022 with a dynamic duo of compact SUVs called Q4 e-tron and Q4 e-tron Sportback.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-q4-e-tron-127-1618346626.jpg,44995,0.01
Q5 / Q5 Sportback,Audi,2022,https://www.caranddriver.com/audi/q5,"For luxury SUV buyers who prioritize style and technology over all-out driving verve, the 2022 Audi Q5 and Q5 Sportback are handsome choices with plenty to like.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-audi-q5-45-premium-plus-321-edit-1616620325.jpg,46695,0.023333332999999998
Q8,Audi,2022,https://www.caranddriver.com/audi/q8,The two-row Audi Q8 is a sporty and luxurious mid-size SUV positioned atop the company's SUV hierarchy above the more practical three-row Q7.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2019-audi-q8-361-1544802623.jpg,70395,0.01
RS Q8,Audi,2022,https://www.caranddriver.com/audi/rs-q8,"Borrowing elements from the outrageous Lamborghini Urus, and with 591 horsepower under the hood, the 2022 Audi RS Q8 is the ultimate Audi SUV.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-rs-q8-105-1573833269.jpg,116495,0.01
RS3,Audi,2022,https://www.caranddriver.com/audi/rs3,The new Audi RS3 is a high-performance compact luxury sedan that features chiseled styling and a unique five-cylinder engine that makes 401 horsepower.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-rs3-sedan-105-1626371922.jpg,59500,0.01
RS5,Audi,2022,https://www.caranddriver.com/audi/rs5,"The two-door Audi RS5 isn't the mightiest or most immersive sports coupe, but it's still impressively quick and provides an undeniable sense of luxury.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-rs5-coupe-101-1575990096.jpg,77000,0.01
RS5 Sportback,Audi,2022,https://www.caranddriver.com/audi/rs5-sportback,"The Audi RS5 Sportback packs a bigger back seat and cargo area than its coupe counterpart, but they share a ferocious engine and fierce styling.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-rs5-sportback-107-1575990125.jpg,77000,0.01
RS6 Avant,Audi,2022,https://www.caranddriver.com/audi/rs6-avant,The Audi RS6 Avant seeks to win over the anti-wagon crowd with its exaggerated styling and stonking 591-hp twin-turbo V-8.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-rs6-avant-mmp-1-1620073915.jpg,111000,0.01
RS7,Audi,2022,https://www.caranddriver.com/audi/rs7,"The Audi RS7 reserves the right to be called one of the hottest hatches on the planet thanks to its assertive styling, 591-hp V-8, and lively handling.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-audi-rs7-244-edit-1608571184.jpg,116000,0.01
R8,Audi,2022,https://www.caranddriver.com/audi/r8,"With Lambo underpinnings and a rip-roaring V-10 engine hidden beneath its understated body, the 2022 Audi R8 supercar flies below the radar.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-r8-spyder-103-1586899600.jpg,147995,0.01
S3,Audi,2022,https://www.caranddriver.com/audi/s3,"Starting with the new A3 as its base, the 2022 Audi S3 gets more power, a lowered suspension, and warmed-up styling to take on compact sport sedans from Mercedes and BMW.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-s3-us-spec-1624381626.jpg,45945,0.012857143
S4,Audi,2022,https://www.caranddriver.com/audi/s4,"The 2022 Audi S4 is deceptively quick and athletic, but its personality is subdued compared to those of its sports-sedan peers.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-a4-limousine-sedan-euro-spec-107-1557895726.jpg,52945,0.01
S5,Audi,2022,https://www.caranddriver.com/audi/s5,"The Audi S5 coupe and cabriolet move quicker and handle better than their A5 counterparts, but neither are as entertaining to drive as their top stablemates.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-s5-coupe-101-1567777577.jpg,54945,0.01
S6,Audi,2022,https://www.caranddriver.com/audi/s6,"Packaged in a soberly styled four-door body, the 2022 Audi S6 is a stealthy sport sedan with strong performance and a big helping of luxury.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-s6-prestige-urbano-004-1599489394.jpg,75845,0.01
S7,Audi,2022,https://www.caranddriver.com/audi/s7,"The 2022 Audi S7 is sleek, sporty, and luxurious without drawing attention to itself, but it caters to folks who want something saucier than the A7.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-s7-mmp-1-1623860448.jpg,85645,0.01
S8,Audi,2022,https://www.caranddriver.com/audi/s8,"For speed freaks with a penchant for comfort and luxury, there are few sedans that do it as well as the 563-hp 2022 Audi S8.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-s8-mmp-1-1635888289.jpg,140000,0.01
SQ5 / SQ5 Sportback,Audi,2022,https://www.caranddriver.com/audi/sq5,"If the standard Q5 is neither powerful enough nor sporty enough for you, Audi's 2022 SQ5 or SQ5 Sportback might be the SUV that satisfies your need for speed.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-audi-sq5-107-1609956621.jpg,54995,0.023333332999999998
Q7,Audi,2022,https://www.caranddriver.com/audi/q7,"Among Audi's athletic lineup of tech-laden luxury cars and SUVs, the 2022 Q7 is the one best suited for family duty with three rows of seats and plenty of tech.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-q7-205-1584322591.jpg,57995,0.01
SQ7,Audi,2022,https://www.caranddriver.com/audi/sq7,"With a boost in power courtesy of a muscular V-8, the SQ7 SUV delivers an impressive combination of performance and luxury with all of the practicality of the standard Q7.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-sq7-prestige-387-edit-1615835962.jpg,88595,0.01
SQ8,Audi,2022,https://www.caranddriver.com/audi/sq8,"The 2022 SQ8 slots into the Audi SUV lineup above the mild Q8 and below the wild RS Q8, but with 500 horses on tap, it should still satisfy most speed freaks.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-audi-sq8-mmp-1-1623856046.jpg,93595,0.01
TT / TTS,Audi,2022,https://www.caranddriver.com/audi/tt-tts,"The eye-catching TT is neither a practical choice nor a sensational sports car, but both coupe and convertible models look great and are satisfying to drive.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-auditt-coupe-mmp-1-1621021668.jpg,50845,0.01
S5 Sportback,Audi,2021,https://www.caranddriver.com/audi/s5-sportback,"The 2021 Audi S5 Sportback offers a spacious cabin, many desirable tech and luxury features, and quick acceleration thanks to its punchy V-6 engine.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-audi-s5-sportback-mmp-1-1591045137.jpg,53545,0.01
TT RS,Audi,2022,https://www.caranddriver.com/audi/tt-rs,"Parked alongside killer sports cars like the Chevrolet Corvette and the Porsche 718 Cayman, the 2022 Audi TT RS looks appropriately aggressive and expensive.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-audi-tt-rs-mmp-1-1638998586.jpg,74245,0.01
A3 Sportback e-tron,Audi,2018,https://www.caranddriver.com/audi/a3-sportback-e-tron,"A pleasing blend of hybrid and hatchback, the A3 e-tron gives you Audi cachet and power, plus an EPA-rated 83–86 MPGe.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2016-audi-a3-e-tron-sportback-1545146537.jpg,40475,0.01
RS4,Audi,2008,https://www.caranddriver.com/audi/rs4,The RS4 is an ultra-high-performance version of the small A4 that trades nimbleness for all-wheel-drive capability.,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/182698/2008-audi-rs4-photo-182702-s-986x603.jpg,NA,0.01
Continental GT,Bentley,2022,https://www.caranddriver.com/bentley/continental-gt,No matter if you choose the hardtop coupe or softtop convertible the 2021 Bentley Continental GT will make you feel like a celebrity.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-bentley-continental-gt-speed-128-1620193617.jpg,210000,0.0
Bentayga,Bentley,2022,https://www.caranddriver.com/bentley/bentayga,"The 2022 Bentley Bentayga offers sumptuous luxury, imperious performance, and the cachet the brand is known for plus the SUV looks and practicality the brand has never been known for.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/bentley-bentayga-mmp-1-1627503394.jpg,185000,0.0
Flying Spur,Bentley,2022,https://www.caranddriver.com/bentley/flying-spur,"For some, pulling up in a luxury car is reward enough, but for a lucky few, nothing short of an ultra-exclusive ride like the 2022 Bentley Flying Spur will do.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-bentley-flying-spur-103-1625579468.jpg,200825,0.0
Mulsanne,Bentley,2020,https://www.caranddriver.com/bentley/mulsanne,The Mulsanne rewards those with means with its positively palatial cabin and an aristocratic pedigree that commands unrivaled prestige.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/mulsanne-extended-wheelbase-rose-gold-over-magnetic-04-jpg-1578934767.jpg,316525,0.0
Mulsanne Speed,Bentley,2020,https://www.caranddriver.com/bentley/mulsanne-speed,"High-speed luxury motoring has a name and it's Bentley Mulsanne Speed, a car that offers old-school opulence and muscle-car hustle.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-bentley-mulsanne-speed-mmp-1-1588796031.jpg,348025,0.0
Continental Supersports,Bentley,2018,https://www.caranddriver.com/bentley/continental-supersports,If you have tastes for speed and luxury-and a padded wallet to boot-the Bentley Continental Supersports is for you.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2018-bentley-continental-supersports-1545082747.jpg,299000,0.01
Continental GT Speed,Bentley,2012,https://www.caranddriver.com/bentley/continental-gt-speed,"If you're interested in some very special numbers, here are a few big ones: 633 hp and 620 lb-ft of torque.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2015/06/2016-Bentley-Continental-GT-Speed-101.jpg,269625,0.0
Azure,Bentley,2010,https://www.caranddriver.com/bentley/azure,"Bigger than life, the Azure is an ultraexclusive convertible.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/239743/2010-bentley-azure-t-photo-239760-s-986x603.jpg,370095,0.0
Brooklands,Bentley,2010,https://www.caranddriver.com/bentley/brooklands,"Named after an old racetrack in jolly old England, the Brooklands is a coupe version of the Azure convertible.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/216165/2009-bentley-brooklands-photo-216172-s-986x603.jpg,348085,0.0
Arnage,Bentley,2009,https://www.caranddriver.com/bentley/arnage,"A prestige sedan in the grand tradition, the Arnage is a sumptuous conveyance that ignores contemporary concerns such as mpg and price.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/228286/2009-bentley-arnage-final-series-photo-228294-s-986x603.jpg,227585,0.0
i8 M,BMW,2024,https://www.caranddriver.com/bmw/i8-m,BMW's hybrid halo car is expected to get a second chance as the company prepares a hotter replacement in the form of the 2024 i8 M.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2024-bmw-i8-m-rendering-1587684362.jpg,160000,0.136551724
i7,BMW,2023,https://www.caranddriver.com/bmw/i7,"Based on the big 7-series sedan, the BMW i7 swaps gasoline for electrons, and we expect big range numbers to help the new car compete against its rivals.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/p90445389-highres-the-bmw-i7-undergoes-1638374998.jpg,100000,0.136551724
2-series,BMW,2022,https://www.caranddriver.com/bmw/2-series,"For its next generation, the BMW 2-series will still have a rear-drive platform, a turbo four or a gutsy straight-six, and (hopefully) a manual transmission.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-bmw-m240i-107-1625542861.jpg,37345,0.05
BMW 2-Series Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/2-series-gran-coupe,"As one of the least expensive ways to join the BMW owners club, the 2022 2-series Gran Coupe seeks to deliver a luxury-car experience, and it mostly succeeds.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-bmw-2-series-gran-coupe-mmp-1-1627583479.jpg,36695,0.05
3-Series,BMW,2022,https://www.caranddriver.com/bmw/3-series,"The BMW 3-series supersedes its sedan classmates with a selection of first-rate powertrains, engaging dynamics, and lots of luxurious elements.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-bmw-330e-101-1565802976.jpg,42445,0.075
4-series,BMW,2022,https://www.caranddriver.com/bmw/4-series,BMW's two-door 4-series coupe and convertible differentiate themselves from the 3-series sedan with a controversial front-end design and a racier roofline.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-bmw-430i-xdrive-coupe-503-16112891165-mmp-1-1627575659.jpg,46795,0.05
4-Series Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/4-series-gran-coupe,"The 2022 BMW 4-series Gran Coupe combines the graceful, flowing roofline of the two-door 4-series with the four-door practicality of the 3-series sedan.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-bmw-m440i-xdrive-gran-coupe-108-1623173717.jpg,46195,0.05
5-Series,BMW,2022,https://www.caranddriver.com/bmw/5-series,"If quiet luxury and handsome styling are high on your new-car priorities list, the spacious and plush 2022 BMW 5-series sedan could be the answer.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-bmw-530e-143-1611852091.jpg,55195,0.05
7-Series,BMW,2022,https://www.caranddriver.com/bmw/7-series,"In recent years, the BMW 7-series has evolved from sports sedan to plush luxobarge, but its quiet cabin and pampering luxury features make it an appealing limo.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-bmw-750i-xdrive-252-1566180109.jpg,87795,0.05
