Model,Make,Year,URL,Description,Pct_domestic_content
DB11,Aston Martin,2022,https://www.caranddriver.com/aston-martin/db11,The Aston Martin DB11 delivers the looks and sportiness expected of high-dollar grand tourers and offers a convertible top or a V-12. ,
DBS,Aston Martin,2022,https://www.caranddriver.com/aston-martin/dbs,"Offered as either a hardtop coupe or a ragtop convertible Volante, the 2022 Aston Martin DBS is a luxury grand touring car with style to spare.",
DBX,Aston Martin,2022,https://www.caranddriver.com/aston-martin/dbx,"The DBX is an Aston Martin for the SUV-loving crowd, boasting the brand's distinct styling and fun-to-drive character, albeit with a more practical bent. ",
Valkyrie,Aston Martin,2022,https://www.caranddriver.com/aston-martin/valkyrie,"Potent and striking, the 2022 Aston Martin Valkyrie is a hypercar with sci-fi design cues and more than 1000 horses.   ",
Vantage,Aston Martin,2022,https://www.caranddriver.com/aston-martin/vantage,"The Aston Martin Vantage doesn't offer everything its supercar rivals do, but it's a gorgeous and thrilling sports car all the same",
Valhalla,Aston Martin,2024,https://www.caranddriver.com/aston-martin/valhalla,"Aston Martin makes the move to a mid-engine layout with the forthcoming Valhalla hypercar, which will combine futuristic styling and ultra-high performance. ",
DBS Superleggera,Aston Martin,2021,https://www.caranddriver.com/aston-martin/dbs-superleggera-2021,The DBS Superleggera combines the best of the modern Aston Martins with a historic name and presents it in a stunning package. ,
Rapide,Aston Martin,2019,https://www.caranddriver.com/aston-martin/rapide,"While other four-doors are sober and serene, the sexy Rapide is flat-out berserk.",
DB9 GT,Aston Martin,2016,https://www.caranddriver.com/aston-martin/db9-gt,"The voluptuous and alluring DB9 GT is sure to get any driver's pulse racing, especially after hearing its trademark growl from under the hood.",
Virage,Aston Martin,2012,https://www.caranddriver.com/aston-martin/virage,"Following a subtle nose job for the DB9 in 2011, a newly shaped coupe based on the same underpinnings arrives on the scene this year.",
One-77,Aston Martin,2011,https://www.caranddriver.com/aston-martin/one-77,"Limited to 77 units worldwide and sporting a carbon monocoque chassis, a 7.",
A6 e-tron,Audi,2023,https://www.caranddriver.com/audi/a6-e-tron,"Audi continues its electric-vehicle assault with the A6 e-tron sedan, which is aimed  directly at the Tesla Model S. ",0.015
e-tron GT,Audi,2022,https://www.caranddriver.com/audi/e-tron-gt,"The Audi e-tron GT is a more muscular-looking version of the Porsche Taycan, and they share an advanced all-electric system that ensures repeated performance.   ",0.01
e-tron / e-tron Sportback,Audi,2022,https://www.caranddriver.com/audi/e-tron,"The Audi e-tron and its coupelike counterpart, the e-tron Sportback, look more conventional than similar EV SUVs, but they're still lovely and highly luxurious.",0.01
A3,Audi,2022,https://www.caranddriver.com/audi/a3,"Facing an onslaught of new rivals, the Audi A3 sedan has been restyled, re-engineered, and modernized for the 2022 model year. ",0.012857143
A4,Audi,2022,https://www.caranddriver.com/audi/a4,"As a compact luxury sports sedan, the 2022 Audi A4 is easy to like and hard to fault since it is handsomely styled, well-built, and loaded with goodies.",0.02
A4 Allroad,Audi,2022,https://www.caranddriver.com/audi/a4-allroad-quattro,"Audi doesn't sell the A4 Avant station wagon in the U.S. but we do get the 2022 A4 Allroad, which is a lifted version of it—and nearly as lovely.",0.02
A5,Audi,2022,https://www.caranddriver.com/audi/a5,"In the world of Audi, removing two doors from the A4 sedan increases the number to 5—as in, the 2022 A5 coupe and cabriolet. ",0.0175
A5 Sportback,Audi,2022,https://www.caranddriver.com/audi/a5-sportback,"Both sexy and practical, the 2022 Audi A5 Sportback blends the best of what we love about the A4 sedan and the A5 coupe. ",0.0175
A6,Audi,2022,https://www.caranddriver.com/audi/a6,"Comfortable, spacious, handsome, technology-rich, and well-equipped, the 2022 Audi A6 checks the critical boxes for a modern mid-size luxury car. ",0.015
A6 Allroad,Audi,2022,https://www.caranddriver.com/audi/a6-allroad,The 2022 Audi A6 Allroad is a handsomely styled luxury wagon with an adjustable air suspension for when adventures take a more rock-strewn path.,0.015
A7,Audi,2022,https://www.caranddriver.com/audi/a7,"The Audi A7 is a hatchback that is as fashionable as it is functional, and its high-tech features and notable refinement further fulfill its luxury billing. ",0.01
A8,Audi,2022,https://www.caranddriver.com/audi/a8,"Audi's most luxurious sedan, the 2022 A8, hides its high-dollar cabin behind a handsome, understated façade and rolls on a chassis that emphasizes a comfortable ride. ",0.01
Q3,Audi,2022,https://www.caranddriver.com/audi/q3,"If you took Audi's mid-size Q8 SUV and hit it with a shrink ray, it would turn into the frisky and maneuverable 2022 Q3. ",0.01
Q4 e-tron,Audi,2022,https://www.caranddriver.com/audi/q4-e-tron,Audi is growing its e-tron sub-brand of electric vehicles for 2022 with a dynamic duo of compact SUVs called Q4 e-tron and Q4 e-tron Sportback. ,0.01
Q5 / Q5 Sportback,Audi,2022,https://www.caranddriver.com/audi/q5,"For luxury SUV buyers who prioritize style and technology over all-out driving verve, the 2022 Audi Q5 and Q5 Sportback are handsome choices with plenty to like. ",0.023333333
Q8,Audi,2022,https://www.caranddriver.com/audi/q8,The two-row Audi Q8 is a sporty and luxurious mid-size SUV positioned atop the company's SUV hierarchy above the more practical three-row Q7. ,0.01
RS Q8,Audi,2022,https://www.caranddriver.com/audi/rs-q8,"Borrowing elements from the outrageous Lamborghini Urus, and with 591 horsepower under the hood, the 2022 Audi RS Q8 is the ultimate Audi SUV.",0.01
RS3,Audi,2022,https://www.caranddriver.com/audi/rs3,The new Audi RS3 is a high-performance compact luxury sedan that features chiseled styling and a unique five-cylinder engine that makes 401 horsepower. ,0.01
RS5,Audi,2022,https://www.caranddriver.com/audi/rs5,"The two-door Audi RS5 isn't the mightiest or most immersive sports coupe, but it's still impressively quick and provides an undeniable sense of luxury.",0.01
RS5 Sportback,Audi,2022,https://www.caranddriver.com/audi/rs5-sportback,"The Audi RS5 Sportback packs a bigger back seat and cargo area than its coupe counterpart, but they share a ferocious engine and fierce styling.",0.01
RS6 Avant,Audi,2022,https://www.caranddriver.com/audi/rs6-avant,The Audi RS6 Avant seeks to win over the anti-wagon crowd with its exaggerated styling and stonking 591-hp twin-turbo V-8.,0.01
RS7,Audi,2022,https://www.caranddriver.com/audi/rs7,"The Audi RS7 reserves the right to be called one of the hottest hatches on the planet thanks to its assertive styling, 591-hp V-8, and lively handling. ",0.01
R8,Audi,2022,https://www.caranddriver.com/audi/r8,"With Lambo underpinnings and a rip-roaring V-10 engine hidden beneath its understated body, the 2022 Audi R8 supercar flies below the radar. ",0.01
S3,Audi,2022,https://www.caranddriver.com/audi/s3,"Starting with the new A3 as its base, the 2022 Audi S3 gets more power, a lowered suspension, and warmed-up styling to take on compact sport sedans from Mercedes and BMW. ",0.012857143
S4,Audi,2022,https://www.caranddriver.com/audi/s4,"The 2022 Audi S4 is deceptively quick and athletic, but its personality is subdued compared to those of its sports-sedan peers.",0.01
S5,Audi,2022,https://www.caranddriver.com/audi/s5,"The Audi S5 coupe and cabriolet move quicker and handle better than their A5 counterparts, but neither are as entertaining to drive as their top stablemates. ",0.01
S6,Audi,2022,https://www.caranddriver.com/audi/s6,"Packaged in a soberly styled four-door body, the 2022 Audi S6 is a stealthy sport sedan with strong performance and a big helping of luxury. ",0.01
S7,Audi,2022,https://www.caranddriver.com/audi/s7,"The 2022 Audi S7 is sleek, sporty, and luxurious without drawing attention to itself, but it caters to folks who want something saucier than the A7. ",0.01
S8,Audi,2022,https://www.caranddriver.com/audi/s8,"For speed freaks with a penchant for comfort and luxury, there are few sedans that do it as well as the 563-hp 2022 Audi S8. ",0.01
SQ5 / SQ5 Sportback,Audi,2022,https://www.caranddriver.com/audi/sq5,"If the standard Q5 is neither powerful enough nor sporty enough for you, Audi's 2022 SQ5 or SQ5 Sportback might be the SUV that satisfies your need for speed.",0.023333333
Q7,Audi,2022,https://www.caranddriver.com/audi/q7,"Among Audi's athletic lineup of tech-laden luxury cars and SUVs, the 2022 Q7 is the one best suited for family duty with three rows of seats and plenty of tech.",0.01
SQ7,Audi,2022,https://www.caranddriver.com/audi/sq7,"With a boost in power courtesy of a muscular V-8, the SQ7 SUV delivers an impressive combination of performance and luxury with all of the practicality of the standard Q7. ",0.01
SQ8,Audi,2022,https://www.caranddriver.com/audi/sq8,"The 2022 SQ8 slots into the Audi SUV lineup above the mild Q8 and below the wild RS Q8, but with 500 horses on tap, it should still satisfy most speed freaks.",0.01
TT / TTS,Audi,2022,https://www.caranddriver.com/audi/tt-tts,"The eye-catching TT is neither a practical choice nor a sensational sports car, but both coupe and convertible models look great and are satisfying to drive. ",0.01
S5 Sportback,Audi,2021,https://www.caranddriver.com/audi/s5-sportback,"The 2021 Audi S5 Sportback offers a spacious cabin, many desirable tech and luxury features, and quick acceleration thanks to its punchy V-6 engine. ",0.01
TT RS,Audi,2021,https://www.caranddriver.com/audi/tt-rs,"The 2021 Audi TT RS, with 394 horsepower and sharp handling, is the most raucous of the TT lineup, but we find its rivals more charming.",0.01
A3 Sportback e-tron,Audi,2018,https://www.caranddriver.com/audi/a3-sportback-e-tron,"A pleasing blend of hybrid and hatchback, the A3 e-tron gives you Audi cachet and power, plus an EPA-rated 83–86 MPGe.",0.01
RS4,Audi,2008,https://www.caranddriver.com/audi/rs4,The RS4 is an ultra-high-performance version of the small A4 that trades nimbleness for all-wheel-drive capability.,0.01
Continental GT,Bentley,2022,https://www.caranddriver.com/bentley/continental-gt,No matter if you choose the hardtop coupe or softtop convertible the 2021 Bentley Continental GT will make you feel like a celebrity. ,0
Bentayga,Bentley,2022,https://www.caranddriver.com/bentley/bentayga,"The 2022 Bentley Bentayga offers sumptuous luxury, imperious performance, and the cachet the brand is known for plus the SUV looks and practicality the brand has never been known for.  ",0
Flying Spur,Bentley,2022,https://www.caranddriver.com/bentley/flying-spur,"For some, pulling up in a luxury car is reward enough, but for a lucky few, nothing short of an ultra-exclusive ride like the 2022 Bentley Flying Spur will do. ",0
Mulsanne,Bentley,2020,https://www.caranddriver.com/bentley/mulsanne,The Mulsanne rewards those with means with its positively palatial cabin and an aristocratic pedigree that commands unrivaled prestige. ,0
Mulsanne Speed,Bentley,2020,https://www.caranddriver.com/bentley/mulsanne-speed,"High-speed luxury motoring has a name and it's Bentley Mulsanne Speed, a car that offers old-school opulence and muscle-car hustle.",0
Continental Supersports,Bentley,2018,https://www.caranddriver.com/bentley/continental-supersports,If you have tastes for speed and luxury-and a padded wallet to boot-the Bentley Continental Supersports is for you.,0.01
Continental GT Speed,Bentley,2012,https://www.caranddriver.com/bentley/continental-gt-speed,"If you're interested in some very special numbers, here are a few big ones: 633 hp and 620 lb-ft of torque.",0
Azure,Bentley,2010,https://www.caranddriver.com/bentley/azure,"Bigger than life, the Azure is an ultraexclusive convertible.",0
Brooklands,Bentley,2010,https://www.caranddriver.com/bentley/brooklands,"Named after an old racetrack in jolly old England, the Brooklands is a coupe version of the Azure convertible.",0
Arnage,Bentley,2009,https://www.caranddriver.com/bentley/arnage,"A prestige sedan in the grand tradition, the Arnage is a sumptuous conveyance that ignores contemporary concerns such as mpg and price.",0
i8 M,BMW,2024,https://www.caranddriver.com/bmw/i8-m,BMW's hybrid halo car is expected to get a second chance as the company prepares a hotter replacement in the form of the 2024 i8 M. ,0.136551724
2-series,BMW,2022,https://www.caranddriver.com/bmw/2-series,"For its next generation, the BMW 2-series will still have a rear-drive platform, a turbo four or a gutsy straight-six, and (hopefully) a manual transmission.",0.05
BMW 2-Series Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/2-series-gran-coupe,"As one of the least expensive ways to join the BMW owners club, the 2022 2-series Gran Coupe seeks to deliver a luxury-car experience, and it mostly succeeds. ",0.05
3-Series,BMW,2022,https://www.caranddriver.com/bmw/3-series,"The BMW 3-series supersedes its sedan classmates with a selection of first-rate powertrains, engaging dynamics, and lots of luxurious elements. ",0.075
4-series,BMW,2022,https://www.caranddriver.com/bmw/4-series,BMW's two-door 4-series coupe and convertible differentiate themselves from the 3-series sedan with a controversial front-end design and a racier roofline. ,0.05
4-Series Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/4-series-gran-coupe,"The 2022 BMW 4-series Gran Coupe combines the graceful, flowing roofline of the two-door 4-series with the four-door practicality of the 3-series sedan. ",0.05
7-Series,BMW,2022,https://www.caranddriver.com/bmw/7-series,"In recent years, the BMW 7-series has evolved from sports sedan to plush luxobarge, but its quiet cabin and pampering luxury features make it an appealing limo. ",0.05
8-Series,BMW,2022,https://www.caranddriver.com/bmw/8-series,"The BMW 8-series coupe and convertible live up to their luxury billing thanks to classy cabins, terrific powertrains, and well-honed ride-and-handling balance. ",0.05
8-Series Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/8-series-gran-coupe,"Having a grand touring coupe at your disposal is a luxury few can justify, but the four-door 2022 BMW 8-series Gran Coupe is practical enough to rationalize.",0.05
i4,BMW,2022,https://www.caranddriver.com/bmw/i4,The BMW i4 is an all-new electric sedan in the vein of the 3-series that's armed and ready to compete against the Tesla Model 3 and other luxury EVs.,0.136551724
iX,BMW,2022,https://www.caranddriver.com/bmw/ix,"The 2022 iX is BMW's first electric SUV, and it offers up to 600 horsepower and 300 miles of driving range per charge.",0.136551724
M3,BMW,2022,https://www.caranddriver.com/bmw/m3,"The BMW M3 has killer powertrains, impressive moves, and can be enjoyably driven every day, but minor compromises keep it off of the sports-sedan throne. ",0.136551724
M4,BMW,2022,https://www.caranddriver.com/bmw/m4,"The BMW M4 coupe offers the same pedigree and performance as the M3 sedan, but along with two fewer doors, it's also available with a topless body style. ",0.136551724
M5,BMW,2022,https://www.caranddriver.com/bmw/m5,The BMW M5 offers bonkers performance for a four-door sedan while still being luxurious enough to pamper those who shell out for its six-figure price tag.,0.136551724
M8,BMW,2022,https://www.caranddriver.com/bmw/m8,"After a one-year hiatus, the BMW M8 coupe and convertible return as Competition-only models with 617 horsepower, absurd acceleration, and incredible luxury. ",0.136551724
M8 Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/m8-gran-coupe,"With a 617-hp twin-turbo V-8 and a curvy four-door body, the BMW M8 Gran Coupe sedan is a supercar for four. ",0.136551724
X1,BMW,2022,https://www.caranddriver.com/bmw/x1,Under the 2022 BMW X1's somewhat anonymous-looking outer skin lies a playful chassis and a turbo engine that give this small SUV a winning character. ,0.05
X2,BMW,2022,https://www.caranddriver.com/bmw/x2,"The 2022 BMW X2 is a stylish, chopped-roof version of the X1 SUV with a bit more aggression to the driving dynamics.",0.05
X3,BMW,2022,https://www.caranddriver.com/bmw/x3,"Even though it's an SUV, the 2022 BMW X3 will surprises with its fun-to-drive nature, a hallmark of the brand's sports sedans through the years.",0.3
X3 M,BMW,2022,https://www.caranddriver.com/bmw/x3-m,"The updated 2022 BMW X3 M is a ridiculously quick, unexpectedly athletic, and wholly entertaining compact luxury crossover with a few compromises. ",0.3
X4,BMW,2022,https://www.caranddriver.com/bmw/x4,"Its fastback styling may be très chic, but the 2022 BMW X4's design compromises the practicality of its square-back X3 sibling while costing more money.",0.31
X4 M,BMW,2022,https://www.caranddriver.com/bmw/x4-m,"Sharing its go-fast mechanical bits with the white-hot X3 M, the 2022 X4 M rolls with a dramatic coupe-like roofline that adds visual pizzazz.",0.31
X5,BMW,2022,https://www.caranddriver.com/bmw/x5,A luxury SUV is at its best when it effortlessly blends on-road driving satisfaction with modern tech and a posh cabin—and the 2022 BMW X5 does just that.,0.36
X5 M,BMW,2022,https://www.caranddriver.com/bmw/x5-m,"Along with serious firepower from a 600-plus-hp twin-turbo V-8, the BMW X5 M is a high-priced, mid-size SUV that's delightfully luxurious and shockingly agile. ",0.36
X6,BMW,2022,https://www.caranddriver.com/bmw/x6,"Slice the rear roofline of the BMW X5 SUV to get the coupelike BMW X6, which is just as luxurious with the same terrific powertrains as its squarer sibling.",0.3
X6 M,BMW,2022,https://www.caranddriver.com/bmw/x6-m,"The BMW X6 M's fastback roofline makes an interesting impression, but its 600-plus-hp twin-turbo V-8 and track-tuned chassis deliver shocking performance. ",0.3
X7,BMW,2022,https://www.caranddriver.com/bmw/x7,"Along with robust and smooth powertrains, the BMW X7 is a supremely luxurious large SUV, but its cargo area and third row aren't overly spacious. ",0.32
XM,BMW,2022,https://www.caranddriver.com/bmw/xm,"BMW is taking the performance of its SUV lineup up a notch with the plug-in hybrid XM crossover, which features a futuristic design and 750 horsepower. ",0.136551724
Z4,BMW,2022,https://www.caranddriver.com/bmw/z4,"There's nothing better than dropping the top on a nice day and finding an entertaining road to enjoy, and the 2022 BMW Z4 is a great choice for such an activity. ",0.05
5-Series,BMW,2022,https://www.caranddriver.com/bmw/5-series,"If quiet luxury and handsome styling are high on your new-car priorities list, the spacious and plush 2022 BMW 5-series sedan could be the answer. ",0.05
M2,BMW,2021,https://www.caranddriver.com/bmw/m2,"The BMW M2 Competition prioritizes driver engagement and performance, which is awesome for track duty but not so much for everyday life. ",0.136551724
i3,BMW,2021,https://www.caranddriver.com/bmw/i3,"The 2021 BMW i3 is designed to stand out, even among other electric vehicles, but its stingy driving range doesn't come close to matching that of rival EVs.",0.05
i8,BMW,2020,https://www.caranddriver.com/bmw/i8,"The 2020 BMW i8 boasts outside-the-box styling and a plug-in powertrain that saves fuel, but it lacks the performance of more exotic sports cars. ",0.136551724
3-series Wagon,BMW,2019,https://www.caranddriver.com/bmw/3-series-wagon,"BMW's only wagon for the states comes in the form of the competent, practical, and stylish 3-series Sports Wagon.",0.075
6-series Gran Coupe,BMW,2019,https://www.caranddriver.com/bmw/6-series-gran-coupe,"With its sweeping roofline and muscular stance, the Gran Coupe disguises a pair of rear doors while retaining the sporty façade of the two-door on which it is based.",0.475
6-series Gran Turismo,BMW,2019,https://www.caranddriver.com/bmw/6-series-gran-turismo,"If you're in the market for a luxury car but want something distinctive, BMW has you covered with the 6-series Gran Turismo.",0.475
M6 Gran Coupe,BMW,2019,https://www.caranddriver.com/bmw/m6-gran-coupe,"We think the “M” in M6 stands for more; here, BMW's four-door “coupe” comes in a performance version with a sport-tuned chassis and a 560-hp twin-turbo.",0.136551724
6-series,BMW,2018,https://www.caranddriver.com/bmw/6-series,"The 6-series is BMW's largest convertible offering, embodying the spirit of elegant, open-top grand touring in a most modern fashion.",0.475
M6,BMW,2018,https://www.caranddriver.com/bmw/m6,"Blending a tasteful yet aggressive design with extraordinary performance, the M6 is a sexy beast indeed.",0.136551724
1-series,BMW,2013,https://www.caranddriver.com/bmw/1-series,The basic 128i is quick and relatively affordable.,0.475
Taycan Cross Turismo,BMW,2022,https://www.caranddriver.com/porsche/taycan-cross-turismo,The Porsche Taycan Cross Turismo inherits the incredible performance attributes of its sedan sibling and morphs them into a more practical station-wagon format.,0.05
B1,Bollinger,2022,https://www.caranddriver.com/bollinger/b1,"The boxy Bollinger B1 SUV looks like a vintage gasoline-burning off-roader of the past, but it boasts a modern all-electric powertrain with 614 horsepower. ",
B2,Bollinger,2022,https://www.caranddriver.com/bollinger/b2,The all-electric Bollinger B2 looks primitive but puts traditional pickup trucks on notice thanks to its impressive capacities and incredible versatility. ,
Chiron,Bugatti,2021,https://www.caranddriver.com/bugatti/chiron,"If a mere run-of-the-mill supercar falls short of fulfilling your automotive fantasies, there's the amazing, breathtakingly expensive 2021 Bugatti Chiron.",0
Divo,Bugatti,2020,https://www.caranddriver.com/bugatti/divo,"With 1500 horsepower, a 236-mph top speed, and a claimed 2.4-second time to 62 mph, the Bugatti Divo is the definition of a numbers car.  ",0
Veyron,Bugatti,2014,https://www.caranddriver.com/bugatti/veyron,"Perhaps the greatest supercar ever, the Veyron 16.",0
Enclave,Buick,2022,https://www.caranddriver.com/buick/enclave,Buyers who see a BMW or a Mercedes-Benz as too flashy will find a lower-key—but also lower-grade—version of luxury in the 2022 Buick Enclave SUV. ,0.49
Encore,Buick,2022,https://www.caranddriver.com/buick/encore,Do not confuse the Encore with the newer and ever-so-slightly larger Encore GX; the standard 2022 Encore serves as the entry point to GM's semi-luxury SUV brand. ,0.035
Encore GX,Buick,2022,https://www.caranddriver.com/buick/encore-gx,"Slotting in above the small Encore in the Buick SUV lineup, the 2022 Encore GX offers the brand's semi-luxury attributes in a handsome, compact package.",0.035
Envision,Buick,2022,https://www.caranddriver.com/buick/envision,"Although, technically, it shares a segment with heavy hitters from Audi, BMW, and Mercedes-Benz the 2022 Buick Envision occupies an odd space between mainstream and luxury.",0.05
Regal GS,Buick,2020,https://www.caranddriver.com/buick/regal-gs,"Despite its above-average driving dynamics and potent V-6 engine, the 2020 Buick Regal GS can't recreate the excitement found on the legendary GS models of old. ",0.186666667
Regal Sportback,Buick,2020,https://www.caranddriver.com/buick/regal-sportback,"Despite its comfy cabin and sleek styling, the Regal Sportback lacks the luxuriousness and sportiness its image suggests. ",0
Regal TourX,Buick,2020,https://www.caranddriver.com/buick/regal-tourx,The 2020 Buick Regal TourX is worth consideration if you're looking for a mid-size wagon with a quiet cabin and loads of cargo space. ,0.1875
LaCrosse,Buick,2019,https://www.caranddriver.com/buick/lacrosse,"Old-school Buick luxury isn't evident in every vehicle bearing the tri-shield badge, but, for better or worse, the 2019 Buick LaCrosse has it in abundance.",0
Cascada,Buick,2019,https://www.caranddriver.com/buick/cascada,Buick knows that sometimes it's more fun to drop your top—hence the Cascada.,0.186666667
Regal,Buick,2017,https://www.caranddriver.com/buick/regal,"With a chassis engineered in Europe, the Regal supplies a credibly athletic sedan to Buick showrooms.",0.186666667
Verano,Buick,2017,https://www.caranddriver.com/buick/verano,"Take Buick's serene, smooth-riding luxury and distill it into a compact size, and you get the Verano.",0.186666667
Lucerne,Buick,2011,https://www.caranddriver.com/buick/lucerne,The front-drive Lucerne shares its platform with the Cadillac DTS and is a traditional American luxury sedan.,0.186666667
M-Byte,Byton,2022,https://www.caranddriver.com/byton/m-byte,"Designed in Germany, engineered in Silicon Valley, and manufactured in China, the Byton M-Byte is a global effort set to make a splash in the EV marketplace. ",
Celestiq,Cadillac,2025,https://www.caranddriver.com/cadillac/celestiq,Cadillac's next flagship sedan is the 2025 Celestiq—it will offer a properly high-tech cabin and an all-electric powertrain with at least 300 miles of driving range. ,0.475
Lyriq,Cadillac,2023,https://www.caranddriver.com/cadillac/lyriq,"Cadillac's first entrant into the luxury electric-vehicle market will be the Lyriq SUV, which features sleek styling and a modern cabin.",0.48
CT4,Cadillac,2022,https://www.caranddriver.com/cadillac/ct4,"As the sole American offering in a European-dominated segment, the 2022 Cadillac CT4 has a lot to prove—and its sharp styling and playful handling should help it earn credibility. ",0.49
CT4-V Blackwing,Cadillac,2022,https://www.caranddriver.com/cadillac/ct4-v-blackwing,"The Cadillac CT4-V Blackwing is bred for performance driving, with a 472-hp twin-turbo V-6 powertrain and a chassis specially tuned for circling racetracks. ",0.49
CT5,Cadillac,2022,https://www.caranddriver.com/cadillac/ct5,"Compared to its rivals, the 2022 Cadillac CT5 doesn't have the sharpest reflexes or the poshest cabin, but its stylish design helps it stand out in the crowd. ",0.49
CT5-V Blackwing,Cadillac,2022,https://www.caranddriver.com/cadillac/ct5-v-blackwing,"The 2022 CT5-V Blackwing is an all-new performance sedan in the Cadillac lineup, but it's powered by a familiar supercharged V-8 engine.",0.49
Escalade,Cadillac,2022,https://www.caranddriver.com/cadillac/escalade-escalade-esv,"More than 20 years ago, General Motors created the original Escalade by slapping a Cadillac grille a GMC Yukon; the 2022 model has evolved into one of the most luxurious vehicles on the market. ",0.46
XT4,Cadillac,2022,https://www.caranddriver.com/cadillac/xt4,"With no shortage of choices among small-luxury SUVs, the 2022 Cadillac XT4 appeals to buyers with a sharp design, spacious interior, and upright driving position. ",0.46
XT5,Cadillac,2022,https://www.caranddriver.com/cadillac/xt5,"As a compact luxury SUV, the 2022 Cadillac XT5 aims for broad appeal, but it lacks some key attributes needed to compete against more impressive rivals.",0.49
XT6,Cadillac,2022,https://www.caranddriver.com/cadillac/xt6,"Although it shares components with the GMC Acadia, the 2022 Cadillac XT6 disguises its down-market roots with upscale styling and a feature-rich options list. ",0.49
