Model,Make,Year,URL,Pct_domestic_content
A8,Audi,2022,https://www.caranddriver.com/audi/a8,0.01
Q3,Audi,2022,https://www.caranddriver.com/audi/q3,0.01
Q4 e-tron,Audi,2022,https://www.caranddriver.com/audi/q4-e-tron,0.01
Q5 / Q5 Sportback,Audi,2022,https://www.caranddriver.com/audi/q5,0.023333332999999998
Q8,Audi,2022,https://www.caranddriver.com/audi/q8,0.01
RS Q8,Audi,2022,https://www.caranddriver.com/audi/rs-q8,0.01
RS3,Audi,2022,https://www.caranddriver.com/audi/rs3,0.01
RS5,Audi,2022,https://www.caranddriver.com/audi/rs5,0.01
RS5 Sportback,Audi,2022,https://www.caranddriver.com/audi/rs5-sportback,0.01
RS6 Avant,Audi,2022,https://www.caranddriver.com/audi/rs6-avant,0.01
RS7,Audi,2022,https://www.caranddriver.com/audi/rs7,0.01
R8,Audi,2022,https://www.caranddriver.com/audi/r8,0.01
S3,Audi,2022,https://www.caranddriver.com/audi/s3,0.012857143
S4,Audi,2022,https://www.caranddriver.com/audi/s4,0.01
S5,Audi,2022,https://www.caranddriver.com/audi/s5,0.01
S6,Audi,2022,https://www.caranddriver.com/audi/s6,0.01
S7,Audi,2022,https://www.caranddriver.com/audi/s7,0.01
S8,Audi,2022,https://www.caranddriver.com/audi/s8,0.01
SQ5 / SQ5 Sportback,Audi,2022,https://www.caranddriver.com/audi/sq5,0.023333332999999998
Q7,Audi,2022,https://www.caranddriver.com/audi/q7,0.01
SQ7,Audi,2022,https://www.caranddriver.com/audi/sq7,0.01
SQ8,Audi,2022,https://www.caranddriver.com/audi/sq8,0.01
TT / TTS,Audi,2022,https://www.caranddriver.com/audi/tt-tts,0.01
S5 Sportback,Audi,2021,https://www.caranddriver.com/audi/s5-sportback,0.01
TT RS,Audi,2021,https://www.caranddriver.com/audi/tt-rs,0.01
A3 Sportback e-tron,Audi,2018,https://www.caranddriver.com/audi/a3-sportback-e-tron,0.01
RS4,Audi,2008,https://www.caranddriver.com/audi/rs4,0.01
Continental GT,Bentley,2022,https://www.caranddriver.com/bentley/continental-gt,0.0
Bentayga,Bentley,2022,https://www.caranddriver.com/bentley/bentayga,0.0
Flying Spur,Bentley,2022,https://www.caranddriver.com/bentley/flying-spur,0.0
Mulsanne,Bentley,2020,https://www.caranddriver.com/bentley/mulsanne,0.0
Mulsanne Speed,Bentley,2020,https://www.caranddriver.com/bentley/mulsanne-speed,0.0
Continental Supersports,Bentley,2018,https://www.caranddriver.com/bentley/continental-supersports,0.01
Continental GT Speed,Bentley,2012,https://www.caranddriver.com/bentley/continental-gt-speed,0.0
Azure,Bentley,2010,https://www.caranddriver.com/bentley/azure,0.0
Brooklands,Bentley,2010,https://www.caranddriver.com/bentley/brooklands,0.0
Arnage,Bentley,2009,https://www.caranddriver.com/bentley/arnage,0.0
i8 M,BMW,2024,https://www.caranddriver.com/bmw/i8-m,0.136551724
2-series,BMW,2022,https://www.caranddriver.com/bmw/2-series,0.05
BMW 2-Series Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/2-series-gran-coupe,0.05
3-Series,BMW,2022,https://www.caranddriver.com/bmw/3-series,0.075
4-series,BMW,2022,https://www.caranddriver.com/bmw/4-series,0.05
4-Series Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/4-series-gran-coupe,0.05
7-Series,BMW,2022,https://www.caranddriver.com/bmw/7-series,0.05
8-Series,BMW,2022,https://www.caranddriver.com/bmw/8-series,0.05
8-Series Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/8-series-gran-coupe,0.05
i4,BMW,2022,https://www.caranddriver.com/bmw/i4,0.136551724
iX,BMW,2022,https://www.caranddriver.com/bmw/ix,0.136551724
M3,BMW,2022,https://www.caranddriver.com/bmw/m3,0.136551724
M4,BMW,2022,https://www.caranddriver.com/bmw/m4,0.136551724
M5,BMW,2022,https://www.caranddriver.com/bmw/m5,0.136551724
M8,BMW,2022,https://www.caranddriver.com/bmw/m8,0.136551724
M8 Gran Coupe,BMW,2022,https://www.caranddriver.com/bmw/m8-gran-coupe,0.136551724
X1,BMW,2022,https://www.caranddriver.com/bmw/x1,0.05
X2,BMW,2022,https://www.caranddriver.com/bmw/x2,0.05
X3,BMW,2022,https://www.caranddriver.com/bmw/x3,0.3
X3 M,BMW,2022,https://www.caranddriver.com/bmw/x3-m,0.3
X4,BMW,2022,https://www.caranddriver.com/bmw/x4,0.31
X4 M,BMW,2022,https://www.caranddriver.com/bmw/x4-m,0.31
X5,BMW,2022,https://www.caranddriver.com/bmw/x5,0.36
X5 M,BMW,2022,https://www.caranddriver.com/bmw/x5-m,0.36
X6,BMW,2022,https://www.caranddriver.com/bmw/x6,0.3
X6 M,BMW,2022,https://www.caranddriver.com/bmw/x6-m,0.3
X7,BMW,2022,https://www.caranddriver.com/bmw/x7,0.32
X8,BMW,2022,https://www.caranddriver.com/bmw/x8,0.136551724
Z4,BMW,2022,https://www.caranddriver.com/bmw/z4,0.05
5-Series,BMW,2022,https://www.caranddriver.com/bmw/5-series,0.05
M2,BMW,2021,https://www.caranddriver.com/bmw/m2,0.136551724
i3,BMW,2021,https://www.caranddriver.com/bmw/i3,0.05
i8,BMW,2020,https://www.caranddriver.com/bmw/i8,0.136551724
3-series Wagon,BMW,2019,https://www.caranddriver.com/bmw/3-series-wagon,0.075
6-series Gran Coupe,BMW,2019,https://www.caranddriver.com/bmw/6-series-gran-coupe,0.475
6-series Gran Turismo,BMW,2019,https://www.caranddriver.com/bmw/6-series-gran-turismo,0.475
M6 Gran Coupe,BMW,2019,https://www.caranddriver.com/bmw/m6-gran-coupe,0.136551724
6-series,BMW,2018,https://www.caranddriver.com/bmw/6-series,0.475
M6,BMW,2018,https://www.caranddriver.com/bmw/m6,0.136551724
1-series,BMW,2013,https://www.caranddriver.com/bmw/1-series,0.475
Taycan Cross Turismo,BMW,2022,https://www.caranddriver.com/porsche/taycan-cross-turismo,0.05
B1,Bollinger,2022,https://www.caranddriver.com/bollinger/b1,
B2,Bollinger,2022,https://www.caranddriver.com/bollinger/b2,
Chiron,Bugatti,2021,https://www.caranddriver.com/bugatti/chiron,0.0
Divo,Bugatti,2020,https://www.caranddriver.com/bugatti/divo,0.0
Veyron,Bugatti,2014,https://www.caranddriver.com/bugatti/veyron,0.0
Enclave,Buick,2022,https://www.caranddriver.com/buick/enclave,0.49
Encore,Buick,2022,https://www.caranddriver.com/buick/encore,0.035
Encore GX,Buick,2022,https://www.caranddriver.com/buick/encore-gx,0.035
Envision,Buick,2022,https://www.caranddriver.com/buick/envision,0.05
Regal GS,Buick,2020,https://www.caranddriver.com/buick/regal-gs,0.18666666699999998
Regal Sportback,Buick,2020,https://www.caranddriver.com/buick/regal-sportback,0.0
Regal TourX,Buick,2020,https://www.caranddriver.com/buick/regal-tourx,0.1875
LaCrosse,Buick,2019,https://www.caranddriver.com/buick/lacrosse,0.0
Cascada,Buick,2019,https://www.caranddriver.com/buick/cascada,0.18666666699999998
Regal,Buick,2017,https://www.caranddriver.com/buick/regal,0.18666666699999998
Verano,Buick,2017,https://www.caranddriver.com/buick/verano,0.18666666699999998
Lucerne,Buick,2011,https://www.caranddriver.com/buick/lucerne,0.18666666699999998
M-Byte,Byton,2022,https://www.caranddriver.com/byton/m-byte,
Celestiq,Cadillac,2025,https://www.caranddriver.com/cadillac/celestiq,0.475
Lyriq,Cadillac,2023,https://www.caranddriver.com/cadillac/lyriq,0.48
CT4,Cadillac,2022,https://www.caranddriver.com/cadillac/ct4,0.49
CT4-V Blackwing,Cadillac,2022,https://www.caranddriver.com/cadillac/ct4-v-blackwing,0.49
CT5,Cadillac,2022,https://www.caranddriver.com/cadillac/ct5,0.49
CT5-V Blackwing,Cadillac,2022,https://www.caranddriver.com/cadillac/ct5-v-blackwing,0.49
Escalade,Cadillac,2022,https://www.caranddriver.com/cadillac/escalade-escalade-esv,0.46
XT4,Cadillac,2022,https://www.caranddriver.com/cadillac/xt4,0.46
XT5,Cadillac,2022,https://www.caranddriver.com/cadillac/xt5,0.49
XT6,Cadillac,2022,https://www.caranddriver.com/cadillac/xt6,0.49
CT6,Cadillac,2020,https://www.caranddriver.com/cadillac/ct6,0.48
ATS,Cadillac,2019,https://www.caranddriver.com/cadillac/ats,0.48
ATS-V,Cadillac,2019,https://www.caranddriver.com/cadillac/ats-v,0.48
CTS,Cadillac,2019,https://www.caranddriver.com/cadillac/cts,0.48
CTS-V,Cadillac,2019,https://www.caranddriver.com/cadillac/cts-v,0.48
XTS,Cadillac,2019,https://www.caranddriver.com/cadillac/xts,0.48
ELR,Cadillac,2016,https://www.caranddriver.com/cadillac/elr,0.48
SRX,Cadillac,2016,https://www.caranddriver.com/cadillac/srx,0.1875
Escalade EXT,Cadillac,2013,https://www.caranddriver.com/cadillac/escalade-ext,0.46
DTS,Cadillac,2011,https://www.caranddriver.com/cadillac/dts,0.48
STS,Cadillac,2011,https://www.caranddriver.com/cadillac/sts,0.48
XLR,Cadillac,2009,https://www.caranddriver.com/cadillac/xlr,0.48
Silverado EV,Chevrolet,2023,https://www.caranddriver.com/chevrolet/silverado-ev,0.46
Blazer,Chevrolet,2022,https://www.caranddriver.com/chevrolet/blazer,0.49
Bolt EUV,Chevrolet,2022,https://www.caranddriver.com/chevrolet/bolt-euv,0.397692308
Bolt EV,Chevrolet,2022,https://www.caranddriver.com/chevrolet/bolt-ev,0.397692308
Colorado,Chevrolet,2022,https://www.caranddriver.com/chevrolet/colorado,0.6
Corvette,Chevrolet,2022,https://www.caranddriver.com/chevrolet/corvette,0.01
Corvette Z06,Chevrolet,2023,https://www.caranddriver.com/chevrolet/corvette-z06,0.01
Equinox,Chevrolet,2022,https://www.caranddriver.com/chevrolet/equinox,0.38
Silverado 1500,Chevrolet,2022,https://www.caranddriver.com/chevrolet/silverado-1500,0.46
Silverado ZR2,Chevrolet,2022,https://www.caranddriver.com/chevrolet/silverado-1500-zr2,0.46
Silverado HD,Chevrolet,2022,https://www.caranddriver.com/chevrolet/silverado-2500hd-3500hd,0.46
Suburban,Chevrolet,2022,https://www.caranddriver.com/chevrolet/suburban,0.46
Tahoe,Chevrolet,2022,https://www.caranddriver.com/chevrolet/tahoe,0.46
Trailblazer,Chevrolet,2022,https://www.caranddriver.com/chevrolet/trailblazer,0.49
Trax,Chevrolet,2022,https://www.caranddriver.com/chevrolet/trax,0.04
Traverse,Chevrolet,2022,https://www.caranddriver.com/chevrolet/traverse,0.01
Camaro,Chevrolet,2021,https://www.caranddriver.com/chevrolet/camaro,0.57
Camaro ZL1,Chevrolet,2021,https://www.caranddriver.com/chevrolet/camaro-zl1,0.57
Express,Chevrolet,2021,https://www.caranddriver.com/chevrolet/express,0.475
Malibu,Chevrolet,2021,https://www.caranddriver.com/chevrolet/malibu,0.46
Spark,Chevrolet,2021,https://www.caranddriver.com/chevrolet/spark,0.01
Sonic,Chevrolet,2020,https://www.caranddriver.com/chevrolet/sonic,0.397692308
Corvette ZR1,Chevrolet,2019,https://www.caranddriver.com/chevrolet/corvette-zr1,0.01
Cruze,Chevrolet,2019,https://www.caranddriver.com/chevrolet/cruze,0.397692308
Impala,Chevrolet,2019,https://www.caranddriver.com/chevrolet/impala,0.397692308
Volt,Chevrolet,2019,https://www.caranddriver.com/chevrolet/volt,0.397692308
City Express,Chevrolet,2018,https://www.caranddriver.com/chevrolet/city-express,0.475
Silverado 2500HD/3500HD,Chevrolet,2018,https://www.caranddriver.com/chevrolet/silverado-2500hd,0.46
SS,Chevrolet,2017,https://www.caranddriver.com/chevrolet/ss-archive,0.397692308
Spark EV,Chevrolet,2016,https://www.caranddriver.com/chevrolet/spark-ev,0.01
Camaro Z/28,Chevrolet,2015,https://www.caranddriver.com/chevrolet/camaro-z-28,0.57
Avalanche,Chevrolet,2013,https://www.caranddriver.com/chevrolet/avalanche,0.397692308
Aveo,Chevrolet,2011,https://www.caranddriver.com/chevrolet/aveo,0.397692308
HHR,Chevrolet,2011,https://www.caranddriver.com/chevrolet/hhr,0.397692308
Cobalt,Chevrolet,2010,https://www.caranddriver.com/chevrolet/cobalt,0.397692308
300,Chrysler,2022,https://www.caranddriver.com/chrysler/300,0.69
Pacifica,Chrysler,2022,https://www.caranddriver.com/chrysler/pacifica,0.68
Voyager,Chrysler,2022,https://www.caranddriver.com/chrysler/voyager,0.68
200,Chrysler,2017,https://www.caranddriver.com/chrysler/200,0.683333333
Town & Country,Chrysler,2016,https://www.caranddriver.com/chrysler/town-country,0.683333333
300 SRT,Chrysler,2014,https://www.caranddriver.com/chrysler/300-srt,0.69
PT Cruiser,Chrysler,2010,https://www.caranddriver.com/chrysler/pt-cruiser,0.05
Sebring,Chrysler,2010,https://www.caranddriver.com/chrysler/sebring,0.683333333
Aspen,Chrysler,2009,https://www.caranddriver.com/chrysler/aspen,0.683333333
Challenger eMuscle,Dodge,2024,https://www.caranddriver.com/dodge/challenger-emuscle,0.66
Challenger,Dodge,2022,https://www.caranddriver.com/dodge/challenger,0.66
Challenger SRT Hellcat,Dodge,2022,https://www.caranddriver.com/dodge/challenger-srt-srt-hellcat,0.66
Charger,Dodge,2022,https://www.caranddriver.com/dodge/charger,0.7
Charger SRT Hellcat,Dodge,2022,https://www.caranddriver.com/dodge/charger-srt-hellcat,0.7
Durango,Dodge,2022,https://www.caranddriver.com/dodge/durango,0.67
Durango SRT,Dodge,2022,https://www.caranddriver.com/dodge/durango-srt,0.67
Durango SRT Hellcat,Dodge,2021,https://www.caranddriver.com/dodge/durango-srt-hellcat,0.67
Grand Caravan,Dodge,2020,https://www.caranddriver.com/dodge/grand-caravan,0.67
Journey,Dodge,2020,https://www.caranddriver.com/dodge/journey,0.676666667
Challenger SRT Demon,Dodge,2018,https://www.caranddriver.com/dodge/challenger-srt-demon,0.66
Challenger SRT 392 / SRT Hellcat,Dodge,2017,https://www.caranddriver.com/dodge/challenger-srt-392-srt-hellcat-2017,0.66
Viper,Dodge,2017,https://www.caranddriver.com/dodge/viper,0.676666667
Dart,Dodge,2016,https://www.caranddriver.com/dodge/dart,0.676666667
Avenger,Dodge,2014,https://www.caranddriver.com/dodge/avenger,0.676666667
Caliber,Dodge,2012,https://www.caranddriver.com/dodge/caliber,0.676666667
Magnum,Dodge,2008,https://www.caranddriver.com/dodge/magnum,0.676666667
Nitro,Dodge,2011,https://www.caranddriver.com/dodge/nitro,0.676666667
296GTB,Ferrari,2022,https://www.caranddriver.com/ferrari/296-gtb,
SF90 Stradale / Spider,Ferrari,2022,https://www.caranddriver.com/ferrari/sf90-stradale,
812 Superfast / GTS,Ferrari,2021,https://www.caranddriver.com/ferrari/812-superfast,
F8 Tributo / Spider,Ferrari,2021,https://www.caranddriver.com/ferrari/f8-tributo-spider,
Portofino M,Ferrari,2021,https://www.caranddriver.com/ferrari/portofino,
Purosangue,Ferrari,2022,https://www.caranddriver.com/ferrari/purosangue,
Roma,Ferrari,2021,https://www.caranddriver.com/ferrari/roma,
488 Pista,Ferrari,2020,https://www.caranddriver.com/ferrari/488,
GTC4Lusso,Ferrari,2020,https://www.caranddriver.com/ferrari/gtc4lusso,
California T,Ferrari,2017,https://www.caranddriver.com/ferrari/california-t,
F12berlinetta,Ferrari,2016,https://www.caranddriver.com/ferrari/f12berlinetta,
FF,Ferrari,2016,https://www.caranddriver.com/ferrari/ff,
LaFerrari,Ferrari,2015,https://www.caranddriver.com/ferrari/laferrari,
599GTB Fiorano,Ferrari,2012,https://www.caranddriver.com/ferrari/599gtb-fiorano,
F430,Ferrari,2010,https://www.caranddriver.com/ferrari/f430,
500X,Fiat,2021,https://www.caranddriver.com/fiat/500x,0.0
124 Spider,Fiat,2020,https://www.caranddriver.com/fiat/124-spider,0.0
500L,Fiat,2020,https://www.caranddriver.com/fiat/500l,0.0
500,Fiat,2019,https://www.caranddriver.com/fiat/500,0.0
500 Abarth,Fiat,2019,https://www.caranddriver.com/fiat/500-500c-abarth,0.0
500e,Fiat,2019,https://www.caranddriver.com/fiat/500e,0.0
Ocean,Fisker,2022,https://www.caranddriver.com/fisker/ocean,
Karma,Fisker,2013,https://www.caranddriver.com/fisker/karma,
F-150 Lightning,Ford,2022,https://www.caranddriver.com/ford/f-150-lightning,0.55
Bronco Raptor,Ford,2023,https://www.caranddriver.com/ford/bronco-raptor,0.61
Ranger,Ford,2023,https://www.caranddriver.com/ford/ranger,0.45
Ranger Raptor,Ford,2023,https://www.caranddriver.com/ford/ranger-raptor,0.45
E-Transit,Ford,2022,https://www.caranddriver.com/ford/e-transit,0.15
Edge,Ford,2022,https://www.caranddriver.com/ford/edge,0.41
Expedition,Ford,2022,https://www.caranddriver.com/ford/expedition,0.6
Explorer,Ford,2022,https://www.caranddriver.com/ford/explorer,0.48
GT,Ford,2022,https://www.caranddriver.com/ford/gt,0.12
Maverick,Ford,2022,https://www.caranddriver.com/ford/maverick,0.39285714299999996
Mustang,Ford,2022,https://www.caranddriver.com/ford/mustang,0.77
Mustang Mach-E,Ford,2022,https://www.caranddriver.com/ford/mustang-mach-e,0.77
Super Duty,Ford,2022,https://www.caranddriver.com/ford/super-duty,0.39285714299999996
Bronco,Ford,2021,https://www.caranddriver.com/ford/bronco,0.61
Bronco Sport,Ford,2021,https://www.caranddriver.com/ford/bronco-sport,0.61
EcoSport,Ford,2021,https://www.caranddriver.com/ford/ecosport,0.16
Escape,Ford,2022,https://www.caranddriver.com/ford/escape,0.4
F-150,Ford,2021,https://www.caranddriver.com/ford/f-150,0.55
F-150 Raptor,Ford,2021,https://www.caranddriver.com/ford/f-150-raptor,0.55
Ford Fusion Active,Ford,2021,https://www.caranddriver.com/ford/fusion-active,0.39285714299999996
Mustang Shelby GT500,Ford,2021,https://www.caranddriver.com/ford/mustang-shelby-gt500,0.12
Transit,Ford,2021,https://www.caranddriver.com/ford/transit,0.15
Transit Connect,Ford,2021,https://www.caranddriver.com/ford/transit-connect,0.15
Fusion / Fusion Hybrid,Ford,2020,https://www.caranddriver.com/ford/fusion,0.39285714299999996
Mustang Shelby GT350,Ford,2020,https://www.caranddriver.com/ford/mustang-shelby-gt350-gt350r,0.12
Fiesta,Ford,2019,https://www.caranddriver.com/ford/fiesta,0.475
Fiesta ST,Ford,2019,https://www.caranddriver.com/ford/fiesta-st,0.475
Flex,Ford,2019,https://www.caranddriver.com/ford/flex,0.39285714299999996
Taurus,Ford,2019,https://www.caranddriver.com/ford/taurus,0.0
C-Max,Ford,2018,https://www.caranddriver.com/ford/c-max,0.39285714299999996
Focus,Ford,2018,https://www.caranddriver.com/ford/focus,0.39285714299999996
Focus Electric,Ford,2018,https://www.caranddriver.com/ford/focus-electric,0.39285714299999996
Focus RS,Ford,2018,https://www.caranddriver.com/ford/focus-rs,0.01
Focus ST,Ford,2018,https://www.caranddriver.com/ford/focus-st,0.39285714299999996
C-Max / C-Max Energi,Ford,2017,https://www.caranddriver.com/ford/c-max-c-max-energi-2017,0.39285714299999996
F-Series Super Duty,Ford,2017,https://www.caranddriver.com/ford/f-series-super-duty-2017,0.475
Explorer Sport Trac,Ford,2010,https://www.caranddriver.com/ford/explorer-sport-trac,0.48
Taurus X,Ford,2009,https://www.caranddriver.com/ford/taurus-x,0.0
G70,Genesis,2022,https://www.caranddriver.com/genesis/g70,0.05
G80,Genesis,2022,https://www.caranddriver.com/genesis/g80,0.0
Electrified G80,Genesis,2022,https://www.caranddriver.com/genesis/electrified-g80,0.0
GV70,Genesis,2022,https://www.caranddriver.com/genesis/gv70,0.025
GV80,Genesis,2021,https://www.caranddriver.com/genesis/gv80,0.05
G90,Genesis,2021,https://www.caranddriver.com/genesis/g90,0.0
Hummer EV,GMC,2022,https://www.caranddriver.com/gmc/hummer-ev,0.478
Hummer EV SUV,GMC,2024,https://www.caranddriver.com/gmc/hummer-ev-suv,0.478
Sierra EV,GMC,2023,https://www.caranddriver.com/gmc/sierra-ev,0.46
Acadia,GMC,2022,https://www.caranddriver.com/gmc/acadia,0.49
Canyon,GMC,2022,https://www.caranddriver.com/gmc/canyon,0.6
Sierra 1500,GMC,2022,https://www.caranddriver.com/gmc/sierra-1500,0.46
Terrain,GMC,2022,https://www.caranddriver.com/gmc/terrain,0.38
Yukon,GMC,2022,https://www.caranddriver.com/gmc/yukon-yukon-xl,0.46
Savana,GMC,2021,https://www.caranddriver.com/gmc/savana,0.478
Sierra HD,GMC,2021,https://www.caranddriver.com/gmc/sierra-2500hd-3500hd,0.46
Envoy,GMC,2009,https://www.caranddriver.com/gmc/envoy,0.478
Civic,Honda,2022,https://www.caranddriver.com/honda/civic,0.457142857
Prologue,Honda,2024,https://www.caranddriver.com/honda/prologue,0.514516129
CR-V,Honda,2023,https://www.caranddriver.com/honda/cr-v,0.566666667
HR-V,Honda,2023,https://www.caranddriver.com/honda/hr-v,0.2
Accord,Honda,2022,https://www.caranddriver.com/honda/accord,0.56
Civic Si,Honda,2022,https://www.caranddriver.com/honda/civic-si,0.457142857
Civic Type R,Honda,2022,https://www.caranddriver.com/honda/civic-type-r,0.457142857
Insight,Honda,2022,https://www.caranddriver.com/honda/insight,0.425
Odyssey,Honda,2022,https://www.caranddriver.com/honda/odyssey,0.7
Passport,Honda,2022,https://www.caranddriver.com/honda/passport,0.7
Pilot,Honda,2022,https://www.caranddriver.com/honda/pilot,0.7
Clarity,Honda,2021,https://www.caranddriver.com/honda/clarity,0.1
Ridgeline,Honda,2021,https://www.caranddriver.com/honda/ridgeline,0.514516129
Fit,Honda,2020,https://www.caranddriver.com/honda/fit,0.514516129
CR-Z,Honda,2016,https://www.caranddriver.com/honda/cr-z,0.514516129
Fit EV,Honda,2014,https://www.caranddriver.com/honda/fit-ev,0.514516129
FCX Clarity,Honda,2012,https://www.caranddriver.com/honda/fcx-clarity,0.1
Element,Honda,2011,https://www.caranddriver.com/honda/element,0.514516129
S2000,Honda,2009,https://www.caranddriver.com/honda/s2000,0.514516129
RM20 N,Hyundai,2023,https://www.caranddriver.com/hyundai/rm20-n,0.0825
Accent,Hyundai,2022,https://www.caranddriver.com/hyundai/accent,0.05
Elantra,Hyundai,2022,https://www.caranddriver.com/hyundai/elantra,0.18333333300000001
Elantra N,Hyundai,2022,https://www.caranddriver.com/hyundai/elantra-n,0.18333333300000001
Ioniq 5,Hyundai,2022,https://www.caranddriver.com/hyundai/ioniq-5,0.0
Kona,Hyundai,2022,https://www.caranddriver.com/hyundai/kona,0.0
Kona Electric,Hyundai,2022,https://www.caranddriver.com/hyundai/kona-electric,0.0
Kona N,Hyundai,2022,https://www.caranddriver.com/hyundai/kona-n,0.0
Nexo,Hyundai,2022,https://www.caranddriver.com/hyundai/nexo,0.0
Palisade,Hyundai,2022,https://www.caranddriver.com/hyundai/palisade,0.05
Santa Cruz,Hyundai,2022,https://www.caranddriver.com/hyundai/santa-cruz,0.5
Santa Fe,Hyundai,2022,https://www.caranddriver.com/hyundai/santa-fe,0.5
Sonata,Hyundai,2022,https://www.caranddriver.com/hyundai/sonata,0.15
Tucson,Hyundai,2022,https://www.caranddriver.com/hyundai/tucson,0.0
Veloster N,Hyundai,2022,https://www.caranddriver.com/hyundai/veloster-n,0.025
Venue,Hyundai,2022,https://www.caranddriver.com/hyundai/venue,0.0
Ioniq,Hyundai,2022,https://www.caranddriver.com/hyundai/ioniq,0.0
Ioniq Electric,Hyundai,2021,https://www.caranddriver.com/hyundai/ioniq-electric,0.0
Veloster,Hyundai,2021,https://www.caranddriver.com/hyundai/veloster,0.025
Elantra GT,Hyundai,2020,https://www.caranddriver.com/hyundai/elantra-gt,0.12
Elantra Sport,Hyundai,2018,https://www.caranddriver.com/hyundai/elantra-sport-2018,0.18333333300000001
Santa Fe Sport,Hyundai,2018,https://www.caranddriver.com/hyundai/santa-fe-sport,0.5
Azera,Hyundai,2017,https://www.caranddriver.com/hyundai/azera,0.0825
Equus,Hyundai,2016,https://www.caranddriver.com/hyundai/equus,0.0825
Genesis,Hyundai,2016,https://www.caranddriver.com/hyundai/genesis,0.475
Genesis coupe,Hyundai,2016,https://www.caranddriver.com/hyundai/genesis-coupe,0.475
Tucson Fuel Cell,Hyundai,2016,https://www.caranddriver.com/hyundai/tucson-fuel-cell,0.0
Elantra Touring,Hyundai,2012,https://www.caranddriver.com/hyundai/elantra-touring,0.18333333300000001
Veracruz,Hyundai,2012,https://www.caranddriver.com/hyundai/veracruz,0.0825
Entourage,Hyundai,2009,https://www.caranddriver.com/hyundai/entourage,0.0825
